"custom_product_code","artwork_numeric_id","source_file","source_line","image_type","image_column","image_reference","resolved_image_filename","resolved_image_path","exists","used_fallback","reason"
"SAF2026-100","100","cafe24-products-63-109.csv","39","list","이미지등록(목록)","","100.jpg","public/images/artworks/100.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-100","100","cafe24-products-63-109.csv","39","tiny","이미지등록(작은목록)","","100.jpg","public/images/artworks/100.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-100","100","cafe24-products-63-109.csv","39","small","이미지등록(축소)","","100.jpg","public/images/artworks/100.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-101","101","cafe24-products-63-109.csv","40","detail","이미지등록(상세)","","101.jpg","public/images/artworks/101.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-101","101","cafe24-products-63-109.csv","40","list","이미지등록(목록)","","101.jpg","public/images/artworks/101.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-101","101","cafe24-products-63-109.csv","40","tiny","이미지등록(작은목록)","","101.jpg","public/images/artworks/101.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-101","101","cafe24-products-63-109.csv","40","small","이미지등록(축소)","","101.jpg","public/images/artworks/101.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-102","102","cafe24-products-63-109.csv","41","detail","이미지등록(상세)","","102.jpg","public/images/artworks/102.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-102","102","cafe24-products-63-109.csv","41","list","이미지등록(목록)","","102.jpg","public/images/artworks/102.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-102","102","cafe24-products-63-109.csv","41","tiny","이미지등록(작은목록)","","102.jpg","public/images/artworks/102.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-102","102","cafe24-products-63-109.csv","41","small","이미지등록(축소)","","102.jpg","public/images/artworks/102.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-103","103","cafe24-products-63-109.csv","42","detail","이미지등록(상세)","","103.jpg","public/images/artworks/103.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-103","103","cafe24-products-63-109.csv","42","list","이미지등록(목록)","","103.jpg","public/images/artworks/103.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-103","103","cafe24-products-63-109.csv","42","tiny","이미지등록(작은목록)","","103.jpg","public/images/artworks/103.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-103","103","cafe24-products-63-109.csv","42","small","이미지등록(축소)","","103.jpg","public/images/artworks/103.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-104","104","cafe24-products-63-109.csv","43","detail","이미지등록(상세)","","104.jpg","public/images/artworks/104.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-104","104","cafe24-products-63-109.csv","43","list","이미지등록(목록)","","104.jpg","public/images/artworks/104.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-104","104","cafe24-products-63-109.csv","43","tiny","이미지등록(작은목록)","","104.jpg","public/images/artworks/104.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-104","104","cafe24-products-63-109.csv","43","small","이미지등록(축소)","","104.jpg","public/images/artworks/104.jpg","Y","Y","empty_reference_stem_fallback"
